video_id,clip_id,text,label,label_T,label_A,label_V,annotation,mode
video_0001,0001,我不想嫁给李茶,-1.0,-1.0,-1.0,-1.0,Negative,train
video_0001,0002,你这是嫁入豪门啊！,1.0,1.0,0.8,1.0,Positive,train
video_0001,0003,我不想嫁入什么豪门，我们不就是豪门吗？,-1.0,-0.8,-1.0,-1.0,Negative,test
video_0001,0004,有那么明显吗？,-1.0,-0.6,-1.0,-1.0,Negative,train
video_0001,0005,我在这消费这么多钱，我低血糖吃块糖还不行了,-1.0,-1.0,-1.0,-1.0,Negative,train
video_0001,0006,够了，每次都是这一套，我不想再听了。,-1.0,-1.0,-1.0,-1.0,Negative,test
video_0001,0007,我刚才信号不好，现在可以了，怎么样，妈，公司给我安排的海景别墅楼。,1.0,1.0,1.0,1.0,Positive,train
video_0001,0008,我刚才是一害怕我就跟王安迪撒了个谎,-1.0,-0.8,-1.0,-1.0,Negative,train
video_0001,0009,说到演讲啊，我不禁想起了我在我的母校。,0.4,0.4,0.0,0.4,Positive,test
video_0001,0010,经理经理，别忘了我那五十万和副科长。,1.0,0.4,0.6,1.0,Positive,train
video_0001,0011,友德读懂了您对我的暗示。,1.0,0.6,0.6,1.0,Positive,train
video_0001,0012,这个神经病,-1.0,-1.0,-0.6,-1.0,Negative,valid
video_0001,0013,有人假扮我，我要把事情弄清楚。,0.0,-0.8,-0.2,0.6,Neutral,train
video_0001,0014,觉得委屈你就走呗。,-0.2,-1.0,-0.2,-0.2,Negative,train
video_0001,0015,我实话跟你说吧，我们家破产了。,-1.0,-0.6,-0.6,-1.0,Negative,train
video_0001,0016,我爸想自杀骗保，追求莫妮卡是我爸活下去的唯一希望,-1.0,-0.8,-0.8,-1.0,Negative,train
video_0001,0017,到干妈的公司来做CEO啊，对对对，年薪一个亿,1.0,1.0,1.0,1.0,Positive,test
video_0001,0018,哦，对对对，她身份很特别，不想让我张扬出去。,1.0,0.6,0.0,1.0,Positive,train
video_0001,0019,我说就算你给我一个亿我都不乐意，我就想在大渣集团干到断气,-1.0,0.0,-1.0,-1.0,Negative,train
video_0001,0020,我的话不好使吗？,-0.8,-1.0,-1.0,-0.4,Negative,train
video_0001,0021,巧了，人事科正好缺了一个副科长。,0.6,0.8,0.6,0.8,Positive,valid
video_0001,0022,副科长还一步登天，我今天要不混上个正科长，我都对不起自己这顿折腾。,-1.0,-1.0,-1.0,-1.0,Negative,valid
video_0001,0023,黄先生我都听说了，我的干儿子沧海被你提升为副科长。,1.0,0.6,0.8,1.0,Positive,valid
video_0001,0024,这样吧，你自己说说，咱们集团什么职位比较轻松啊！,-0.4,0.4,0.2,-0.2,Negative,train
video_0001,0025,我们想找你聊聊。,-0.6,0.0,-0.2,-0.4,Negative,train
video_0001,0026,你觉得他该怎么办啊,-0.6,-0.6,0.0,-0.6,Negative,train
video_0001,0027,但是您现在可以卖身救集团，干还是不干是吧？,0.0,-0.8,-0.4,0.0,Neutral,test
video_0001,0028,尊严丢了，整个人就破产了,-0.6,-0.8,-0.6,-0.6,Negative,test
video_0001,0029,在他们眼里，莫妮卡根本就不是一个人，而是一堆钞票。,-0.8,-0.8,-0.8,-0.8,Negative,train
video_0001,0030,大渣集团的小职员？,0.2,-0.4,-0.6,1.0,Positive,train
video_0001,0031,不是都快破产了吗,0.6,-0.8,-0.8,1.0,Positive,test
video_0001,0032,咱俩都得烧死,-1.0,-1.0,-0.6,-1.0,Negative,valid
video_0001,0033,我只是希望每个明天你都在。,1.0,0.8,0.4,1.0,Positive,test
video_0001,0034,明天我在，后天就不一定了。,-0.8,-0.6,-0.4,-1.0,Negative,train
video_0001,0035,我根本就不想嫁给你。,-1.0,-1.0,-1.0,-1.0,Negative,train
video_0002,0001,也不知道是贵球队的哪位领导，在茫茫人海中一眼就叨中了我这只老妖精,0.2,0.6,0.6,0.6,Positive,train
video_0002,0002,这菜还没凉，要不吃点？,0.0,0.4,0.0,0.4,Neutral,train
video_0002,0003,你说的那些都是我的业余爱好,0.0,0.4,0.6,-0.6,Neutral,test
